Username,Password
john.doe13,R|12RSKy->
jane.smith45,%z1>b63(lf
alice.johnson99,t\N@j.A|V@
chris.lee47,g:'I'SOZVu
david.brown69,[6y]z.p2O/
emma.davis27,_k34a.#oyH
james.wilson96,"?`Q""=:E!,h"
olivia.martinez20,IiP%&Y5@bu
liam.anderson16,H]B[SLVF_H
sophia.thomas80,&f4kqa_\.=
mason.hernandez34,+iy]!l}{xq
isabella.moore17,"ee1]G6w,Rx"
ethan.martin35,G5U!i~<\aq
mia.jackson55,Zk'x6E!k1|
lucas.white92,6F=E+~!W~a
ava.harris6,/j#}xEZ?+:
logan.clark17,'-_Pq[:6eh
charlotte.lewis57,+.E?-YByU0
aiden.robinson50,"o,HBSy1*b"""
amelia.walker99,I1I@l~4Jf+
